"id","exam","domain","difficulty","question","A","B","C","D","answer","explanation","reference","tags"
"ALPHA-089","Alpha","Domain 4 - Model Construct and Practice Implementation","Hard","Sensitive paper files containing CUI are discarded into normal trash containers. Which family is most directly implicated?","Media Protection","Physical Protection","Risk Management","Incident Response","A","Media sanitization and destruction protect CUI.","Assessment Guide Level 2 - MP","MP|Sanitization"
"ALPHA-090","Alpha","Domain 4 - Model Construct and Practice Implementation","Elite","Remote users authenticate with MFA but privileged local accounts use only passwords. Which family is most directly implicated?","Media Protection","Identification and Authentication","Physical Protection","Awareness Training","B","Privileged accounts should employ multifactor authentication.","Assessment Guide Level 2 - IA","IA|MFA"
"ALPHA-091","Alpha","Domain 4 - Model Construct and Practice Implementation","Hard","Cleaning personnel are granted unescorted access to areas containing CUI systems. Which family is most directly implicated?","Physical Protection","Media Protection","Access Control","System Integrity","A","Visitor access should be controlled and monitored.","Assessment Guide Level 2 - PE","PE|Visitor Escort"
"ALPHA-092","Alpha","Domain 4 - Model Construct and Practice Implementation","Elite","Firewall rules permit unrestricted inbound traffic to internal servers hosting CUI. Which family is most directly implicated?","System and Communications Protection","Media Protection","Physical Protection","Personnel Security","A","Boundary protections limit communications entering and leaving the network.","Assessment Guide Level 2 - SC","SC|Boundary Protection"
"ALPHA-093","Alpha","Domain 4 - Model Construct and Practice Implementation","Hard","Anti-virus software signatures have not been updated for nine months. Which family is most directly implicated?","System and Information Integrity","Media Protection","Physical Protection","Personnel Security","A","Protection from malicious code requires current mechanisms.","Assessment Guide Level 2 - SI","SI|Malicious Code"
"ALPHA-094","Alpha","Domain 4 - Model Construct and Practice Implementation","Elite","Users can continue working indefinitely without reauthentication after extended inactivity. Which practice area is most directly implicated?","Session Lock","Media Protection","Physical Escort","Incident Response","A","Session lock mechanisms help prevent unauthorized access to unattended systems.","Assessment Guide Level 2 - AC","AC|Session Lock"
"ALPHA-095","Alpha","Domain 4 - Model Construct and Practice Implementation","Elite","A user is granted administrator privileges to simplify troubleshooting, despite only needing standard access. Which principle is most directly violated?","Media Accountability","Least Privilege","Visitor Control","Media Sanitization","B","Least privilege restricts users to only the privileges necessary to perform assigned duties.","Assessment Guide Level 2 - AC","AC|Least Privilege"
"ALPHA-096","Alpha","Domain 4 - Model Construct and Practice Implementation","Elite","An organization allows users to reuse their previous two passwords indefinitely. Which control family is most directly implicated?","Media Protection","Identification and Authentication","Physical Protection","Incident Response","B","Password management policies support strong authentication and reduce credential compromise risk.","Assessment Guide Level 2 - IA","IA|Password Management"
"ALPHA-097","Alpha","Domain 4 - Model Construct and Practice Implementation","Elite","A privileged account is shared among three administrators to simplify emergency access. Which concern is most directly affected?","Accountability","Media Sanitization","Boundary Protection","Visitor Control","A","Shared privileged accounts reduce accountability and traceability.","Assessment Guide Level 2 - IA","IA|Accountability|Authentication"
"ALPHA-098","Alpha","Domain 4 - Model Construct and Practice Implementation","Hard","Users may connect removable media to systems without authorization or malware scanning. Which family is most directly implicated?","Media Protection","Personnel Security","Physical Protection","Awareness Training","A","Media usage should be controlled and protected from malicious code.","Assessment Guide Level 2 - MP","MP|Removable Media"
"ALPHA-099","Alpha","Domain 4 - Model Construct and Practice Implementation","Elite","An OSC permits unrestricted remote administrative access from any Internet location. Which family is most directly implicated?","System and Communications Protection","Media Protection","Risk Management","Physical Protection","A","Remote access pathways should be controlled and protected.","Assessment Guide Level 2 - SC","SC|Remote Access"
"ALPHA-100","Alpha","Domain 4 - Model Construct and Practice Implementation","Hard","Employees are not required to display identification badges in controlled areas containing CUI systems. Which family is most directly implicated?","Media Protection","Physical Protection","System Integrity","Access Control","B","Physical access mechanisms support identification and control of personnel.","Assessment Guide Level 2 - PE","PE|Identification"
"ALPHA-101","Alpha","Domain 4 - Model Construct and Practice Implementation","Elite","Critical security alerts generated by endpoint protection are routinely ignored. Which family is most directly implicated?","System and Information Integrity","Media Protection","Physical Protection","Personnel Security","A","Organizations should identify, report, and respond to malicious code protection failures.","Assessment Guide Level 2 - SI","SI|Malicious Code"
"ALPHA-102","Alpha","Domain 4 - Model Construct and Practice Implementation","Hard","Administrators delay applying emergency security patches because system downtime is inconvenient. Which family is most directly implicated?","Media Protection","System and Information Integrity","Awareness Training","Physical Protection","B","Timely flaw remediation is essential to maintaining system integrity.","Assessment Guide Level 2 - SI","SI|Flaw Remediation"
"ALPHA-103","Alpha","Domain 4 - Model Construct and Practice Implementation","Elite","An OSC permits unrestricted peer-to-peer software installation on CUI systems. Which principle is most directly implicated?","Least Functionality","Media Sanitization","Visitor Escort","Physical Separation","A","Limiting system functionality reduces unnecessary risk.","Assessment Guide Level 2 - CM","CM|Least Functionality"
"ALPHA-104","Alpha","Domain 4 - Model Construct and Practice Implementation","Elite","Employees authenticate to CUI systems using group accounts instead of unique credentials. Which family is most directly implicated?","Physical Protection","Media Protection","Identification and Authentication","Risk Management","C","Unique identifiers support accountability and authentication.","Assessment Guide Level 2 - IA","IA|Unique Identification"
"ALPHA-105","Alpha","Domain 4 - Model Construct and Practice Implementation","Hard","Backup tapes containing CUI are left unattended during transportation. Which family is most directly implicated?","Media Protection","Physical Protection","Access Control","Awareness Training","A","Media transport requires protection and accountability.","Assessment Guide Level 2 - MP","MP|Transport"
"ALPHA-106","Alpha","Domain 4 - Model Construct and Practice Implementation","Elite","An employee bypasses MFA by using a colleague's authenticated workstation. Which principle is most directly compromised?","Media Accountability","Authentication Assurance","Physical Protection","Media Sanitization","B","Authentication mechanisms support identity assurance and accountability.","Assessment Guide Level 2 - IA","IA|MFA|Identity Assurance"
"ALPHA-107","Alpha","Domain 4 - Model Construct and Practice Implementation","Hard","Server room access logs are never reviewed for unusual activity. Which family is most directly implicated?","Physical Protection","Media Protection","System Integrity","Personnel Security","A","Monitoring physical access helps detect unauthorized activity.","Assessment Guide Level 2 - PE","PE|Monitoring"
"ALPHA-108","Alpha","Domain 4 - Model Construct and Practice Implementation","Elite","An OSC discovers expired anti-malware licenses prevented signature updates for months. Which family is most directly implicated?","Media Protection","System and Information Integrity","Physical Protection","Awareness Training","B","Malicious code protection mechanisms should remain current and effective.","Assessment Guide Level 2 - SI","SI|Malicious Code"
"ALPHA-109","Alpha","Domain 4 - Model Construct and Practice Implementation","Elite","An administrator disables account lockout because users frequently mistype passwords. Which family is most directly implicated?","Identification and Authentication","Media Protection","Physical Protection","Incident Response","A","Account protection mechanisms help defend against brute-force attacks and unauthorized access.","Assessment Guide Level 2 - IA","IA|Account Protection"
"ALPHA-110","Alpha","Domain 4 - Model Construct and Practice Implementation","Hard","Users may retain access to shared folders after transferring departments because permissions are never reviewed. Which principle is most directly affected?","Visitor Escort","Least Privilege","Media Sanitization","Physical Separation","B","Least privilege requires access to be limited to authorized duties.","Assessment Guide Level 2 - AC","AC|Least Privilege"
"ALPHA-111","Alpha","Domain 4 - Model Construct and Practice Implementation","Elite","Portable media containing CUI are reused without sanitization before reassignment. Which family is most directly implicated?","System Integrity","Media Protection","Physical Protection","Awareness Training","B","Media sanitization prevents unauthorized disclosure of residual information.","Assessment Guide Level 2 - MP","MP|Sanitization"
"ALPHA-112","Alpha","Domain 4 - Model Construct and Practice Implementation","Hard","Employees can enter the server room using a common keypad code known to all personnel. Which family is most directly implicated?","Media Protection","Physical Protection","Risk Management","Personnel Security","B","Physical access mechanisms should uniquely identify and control access.","Assessment Guide Level 2 - PE","PE|Physical Access"
"ALPHA-113","Alpha","Domain 4 - Model Construct and Practice Implementation","Elite","A contractor transmits CUI through an unencrypted third-party file-sharing site. Which family is most directly implicated?","System and Communications Protection","Media Protection","Awareness Training","Physical Protection","A","Communications carrying CUI should be protected using cryptographic mechanisms.","Assessment Guide Level 2 - SC","SC|Encryption"
"ALPHA-114","Alpha","Domain 4 - Model Construct and Practice Implementation","Elite","Anti-malware software reports repeated failures, but personnel do not investigate the alerts. Which family is most directly implicated?","Physical Protection","Media Protection","System and Information Integrity","Configuration Management","C","Organizations should identify, report, and correct malicious code protection failures.","Assessment Guide Level 2 - SI","SI|Malicious Code"
"ALPHA-115","Alpha","Domain 4 - Model Construct and Practice Implementation","Hard","Security patches are applied only during annual maintenance windows despite critical vulnerabilities. Which family is most directly implicated?","Media Protection","System and Information Integrity","Physical Protection","Awareness Training","B","Timely flaw remediation reduces exposure to known vulnerabilities.","Assessment Guide Level 2 - SI","SI|Flaw Remediation"
"ALPHA-116","Alpha","Domain 4 - Model Construct and Practice Implementation","Elite","Users are granted administrative rights on laptops to avoid frequent help desk requests. Which principle is most directly violated?","Media Accountability","Least Privilege","Visitor Control","Media Sanitization","B","Users should be provided only the privileges necessary to perform assigned duties.","Assessment Guide Level 2 - AC","AC|Least Privilege"
"ALPHA-117","Alpha","Domain 4 - Model Construct and Practice Implementation","Hard","Employees may authenticate to CUI systems using passwords that never expire. Which family is most directly implicated?","Identification and Authentication","Media Protection","Physical Protection","Incident Response","A","Credential management policies support secure authentication practices.","Assessment Guide Level 2 - IA","IA|Credential Management"
"ALPHA-118","Alpha","Domain 4 - Model Construct and Practice Implementation","Elite","Printed reports containing CUI are stored overnight in unlocked desks accessible to cleaning personnel. Which family is most directly implicated?","Media Protection","Physical Protection","Access Control","System Integrity","A","Media containing CUI should be protected from unauthorized access.","Assessment Guide Level 2 - MP","MP|Storage"
"ALPHA-119","Alpha","Domain 4 - Model Construct and Practice Implementation","Elite","An OSC allows unrestricted inbound network connections to systems hosting CUI because operations require flexibility. Which family is most directly implicated?","Media Protection","System and Communications Protection","Physical Protection","Personnel Security","B","Boundary protections help control communications entering and leaving systems.","Assessment Guide Level 2 - SC","SC|Boundary Protection"
"ALPHA-120","Alpha","Domain 4 - Model Construct and Practice Implementation","Elite","Employees leave active sessions unattended for extended periods without automatic lock mechanisms. Which practice area is most directly implicated?","Media Sanitization","Session Lock","Visitor Escort","Physical Separation","B","Session lock mechanisms reduce the risk of unauthorized access to unattended systems.","Assessment Guide Level 2 - AC","AC|Session Lock"
"ALPHA-121","Alpha","Domain 5 - CMMC Assessment Process","Elite","During an assessment, interviews indicate that multifactor authentication is enforced for remote access, but testing reveals one VPN group authenticates with only a password. What should assessors do?","Assign MET because interviews confirmed implementation","Resolve the conflicting evidence and determine actual implementation","Ignore the testing results","Mark the practice N/A","B","Conflicting evidence must be reconciled before assigning a final result.","CAP v5.6; Assessment Guide Level 2","CAP|Evidence Sufficiency|Test"
"ALPHA-122","Alpha","Domain 5 - CMMC Assessment Process","Hard","Which three assessment methods are used during a CMMC assessment?","Review, Approve, Certify","Examine, Interview, Test","Observe, Document, Verify","Inspect, Validate, Report","B","CMMC assessments use Examine, Interview, and Test methods.","CAP v5.6","CAP|Methods"
"ALPHA-123","Alpha","Domain 5 - CMMC Assessment Process","Elite","An administrator states account reviews are performed monthly, but no documentation exists and testing cannot confirm the process. Which result is most appropriate?","MET","N/A","NOT MET","POA&M","C","Assertions alone are insufficient without adequate evidence.","CAP v5.6","CAP|Evidence Sufficiency"
"ALPHA-124","Alpha","Domain 5 - CMMC Assessment Process","Hard","Which phase includes planning and preparing for the assessment?","Phase 1","Phase 2","Phase 3","Phase 4","A","Phase 1 consists of assessment preparation and planning activities.","CAP v5.6","CAP|Phase 1"
"ALPHA-125","Alpha","Domain 5 - CMMC Assessment Process","Elite","An assessor observes contradictory evidence between screenshots and live system testing. Which action is most appropriate?","Rely only on screenshots","Rely only on interviews","Investigate further and reconcile discrepancies","Assign MET because evidence exists","C","Assessment conclusions require sufficient and consistent evidence.","CAP v5.6","CAP|Evidence"
"ALPHA-126","Alpha","Domain 5 - CMMC Assessment Process","Hard","Which phase includes conducting Examine, Interview, and Test procedures?","Phase 1","Phase 2","Phase 3","Phase 4","B","Assessment execution occurs during Phase 2.","CAP v5.6","CAP|Phase 2"
"ALPHA-127","Alpha","Domain 5 - CMMC Assessment Process","Elite","Evidence shows a control is implemented for most users, but several exceptions allow unauthorized access. Which assessment result is most appropriate?","MET","NOT MET","N/A","POA&M","B","Material deficiencies prevent a MET determination.","CAP v5.6","CAP|MET|NOT MET"
"ALPHA-128","Alpha","Domain 5 - CMMC Assessment Process","Hard","Which phase includes reporting assessment results?","Phase 1","Phase 2","Phase 3","Phase 4","C","Reporting occurs during Phase 3.","CAP v5.6","CAP|Phase 3"
"ALPHA-129","Alpha","Domain 5 - CMMC Assessment Process","Elite","An OSC provides documentation from three years ago as evidence of account management. Which concern is most direct?","Evidence sufficiency","Visitor access","Physical protection","Media accountability","A","Evidence should demonstrate current implementation.","CAP v5.6","CAP|Evidence Currency"
"ALPHA-130","Alpha","Domain 5 - CMMC Assessment Process","Hard","Which phase includes POA&M closeout activities?","Phase 1","Phase 2","Phase 3","Phase 4","D","Phase 4 includes post-assessment and POA&M activities.","CAP v5.6","CAP|Phase 4"
"ALPHA-131","Alpha","Domain 5 - CMMC Assessment Process","Elite","Personnel describe a process that differs from documented procedures. What should assessors do?","Accept the documentation","Accept interviews only","Reconcile differences using additional evidence","Assign NOT MET immediately","C","Assessors should resolve inconsistencies before reaching conclusions.","CAP v5.6","CAP|Interviews|Evidence"
"ALPHA-132","Alpha","Domain 5 - CMMC Assessment Process","Hard","Which role is responsible for leading assessment activities?","CQAP","Lead Assessor","Registered Practitioner","OSC Sponsor","B","The Lead Assessor directs assessment activities.","CAP v5.6","CAP|Lead Assessor"
"ALPHA-133","Alpha","Domain 5 - CMMC Assessment Process","Elite","Testing confirms MFA works for privileged accounts, but screenshots provided by the OSC are outdated. Which evidence source should drive conclusions?","Outdated screenshots","Current testing results","Marketing material","Previous assessment reports","B","Current testing provides stronger evidence of implementation.","CAP v5.6","CAP|Testing|Evidence"
"ALPHA-134","Alpha","Domain 5 - CMMC Assessment Process","Elite","During an assessment, personnel describe monthly account reviews, but the only records provided are more than one year old. Which concern is most direct?","Media accountability","Evidence sufficiency","Visitor access","Physical security","B","Evidence should demonstrate current implementation. Outdated artifacts alone may be insufficient.","CAP v5.6","CAP|Evidence Sufficiency|Artifacts"
"ALPHA-135","Alpha","Domain 5 - CMMC Assessment Process","Hard","Which assessment method involves reviewing policies, procedures, and screenshots?","Interview","Examine","Test","Observe","B","Examine activities include reviewing documentation and artifacts.","CAP v5.6","CAP|Examine"
"ALPHA-136","Alpha","Domain 5 - CMMC Assessment Process","Elite","Testing demonstrates MFA works correctly, but one interviewee states it is not required. What should assessors do?","Assign NOT MET immediately","Rely only on interviews","Resolve the inconsistency using additional evidence","Ignore the discrepancy","C","Assessors should reconcile contradictory evidence before reaching conclusions.","CAP v5.6","CAP|Contradictory Evidence"
"ALPHA-137","Alpha","Domain 5 - CMMC Assessment Process","Hard","Which assessment method involves asking personnel how processes are performed?","Interview","Examine","Test","Observe","A","Interviews are used to understand how activities are performed.","CAP v5.6","CAP|Interview"
"ALPHA-138","Alpha","Domain 5 - CMMC Assessment Process","Elite","An assessor receives conflicting screenshots from different administrators. Which action is most appropriate?","Assign MET because screenshots exist","Ignore the conflict","Gather additional evidence and reconcile discrepancies","Assign N/A","C","Conflicting evidence should be investigated and resolved.","CAP v5.6","CAP|Evidence"
"ALPHA-139","Alpha","Domain 5 - CMMC Assessment Process","Hard","Which assessment method includes validating technical operation of controls?","Interview","Examine","Test","Review","C","Testing validates that controls operate as intended.","CAP v5.6","CAP|Test"
"ALPHA-140","Alpha","Domain 5 - CMMC Assessment Process","Elite","An OSC provides only verbal statements to support implementation of a practice. Which conclusion is most appropriate?","MET","NOT MET unless sufficient evidence exists","POA&M","N/A","B","Assertions alone do not constitute sufficient evidence.","CAP v5.6","CAP|Evidence Sufficiency"
"ALPHA-141","Alpha","Domain 5 - CMMC Assessment Process","Hard","Which role is responsible for ensuring assessment package quality and completeness?","Registered Practitioner","Lead Assessor","CQAP","OSC Official","C","The CMMC Quality Assurance Professional reviews assessment package quality.","CAP v5.6","CAP|CQAP"
"ALPHA-142","Alpha","Domain 5 - CMMC Assessment Process","Elite","Testing confirms that a control functions for most users, but several exceptions allow unauthorized access. Which result is most appropriate?","MET","NOT MET","N/A","POA&M","B","Material deficiencies prevent a MET determination.","CAP v5.6","CAP|MET|NOT MET"
"ALPHA-143","Alpha","Domain 5 - CMMC Assessment Process","Hard","Which phase includes final reporting of assessment results?","Phase 1","Phase 2","Phase 3","Phase 4","C","Phase 3 includes reporting assessment results.","CAP v5.6","CAP|Phase 3"
"ALPHA-144","Alpha","Domain 5 - CMMC Assessment Process","Elite","Assessors observe inconsistent implementation across sampled systems. Which action is most appropriate?","Expand testing and reconcile findings","Assign MET because most systems comply","Ignore outliers","Mark N/A","A","Additional evidence may be required when implementation varies across samples.","CAP v5.6","CAP|Sampling|Evidence"
"ALPHA-145","Alpha","Domain 5 - CMMC Assessment Process","Hard","Which phase addresses POA&M closeout activities?","Phase 1","Phase 2","Phase 3","Phase 4","D","Post-assessment and POA&M activities occur during Phase 4.","CAP v5.6","CAP|Phase 4|POA&M"
"ALPHA-146","Alpha","Domain 5 - CMMC Assessment Process","Elite","Which principle is most important when assessors encounter conflicting evidence from artifacts, interviews, and testing?","Speed","Consistency and objectivity","Convenience","Assumptions","B","Assessment conclusions should be objective, evidence-based, and consistent.","CAP v5.6","CAP|Objectivity|Evidence"
"ALPHA-147","Alpha","Domain 5 - CMMC Assessment Process","Elite","During Phase 2, interviews indicate monthly account reviews occur, but testing shows several dormant accounts remain enabled. What should assessors do?","Assign MET because the process exists","Reconcile the conflicting evidence and determine actual implementation","Ignore testing and rely on interviews","Mark the practice N/A","B","Assessment conclusions require sufficient and consistent evidence.","CAP v5.6","CAP|Evidence|Interviews|Testing"
"ALPHA-148","Alpha","Domain 5 - CMMC Assessment Process","Hard","Which phase includes the execution of Examine, Interview, and Test activities?","Phase 1","Phase 2","Phase 3","Phase 4","B","Assessment execution occurs during Phase 2.","CAP v5.6","CAP|Phase 2"
"ALPHA-149","Alpha","Domain 5 - CMMC Assessment Process","Elite","Which principle is most important when evaluating contradictory evidence?","Convenience","Consistency and objectivity","Speed","Assumptions","B","Assessment conclusions should be objective and evidence-based.","CAP v5.6","CAP|Objectivity"
"ALPHA-150","Alpha","Domain 5 - CMMC Assessment Process","Hard","Which role is responsible for verifying assessment package completeness and quality?","Registered Practitioner","Lead Assessor","CQAP","OSC Official","C","The CQAP reviews assessment package quality.","CAP v5.6","CAP|CQAP"
"ALPHA-151","Alpha","Domain 5 - CMMC Assessment Process","Elite","Evidence demonstrates control implementation for most systems, but testing identifies material exceptions. Which result is most appropriate?","MET","NOT MET","N/A","POA&M","B","Material deficiencies prevent a MET determination.","CAP v5.6","CAP|MET|NOT MET"
"ALPHA-152","Alpha","Domain 6 - Scoping","Elite","A workstation stores and processes CUI and connects directly to CUI systems. Which asset category most likely applies?","Security Protection Asset","Specialized Asset","CUI Asset","Out-of-Scope Asset","C","Assets that process, store, or transmit CUI are CUI Assets.","CMMC Scope Guide Level 2","Scoping|CUI Asset"
"ALPHA-153","Alpha","Domain 6 - Scoping","Elite","A SIEM collects logs and provides security monitoring for CUI assets but does not process CUI. Which category most likely applies?","Security Protection Asset","CRMA","Specialized Asset","Out-of-Scope Asset","A","Security Protection Assets provide security functions supporting CUI assets.","CMMC Scope Guide Level 2","Scoping|SPA|SIEM"
"ALPHA-154","Alpha","Domain 6 - Scoping","Hard","Which asset category generally includes manufacturing equipment that cannot practically implement all CMMC practices?","Out-of-Scope Asset","Specialized Asset","Security Protection Asset","CRMA","B","Specialized Assets may have unique operational constraints.","CMMC Scope Guide Level 2","Scoping|Specialized Asset"
"ALPHA-155","Alpha","Domain 6 - Scoping","Elite","A cloud email gateway filters malicious messages for systems within scope. Which category most likely applies?","Specialized Asset","Out-of-Scope Asset","CRMA","Security Protection Asset","D","Email gateways providing protection are Security Protection Assets.","CMMC Scope Guide Level 2","Scoping|SPA"
"ALPHA-156","Alpha","Domain 6 - Scoping","Elite","Which asset category consists of contractor-owned systems capable of accessing CUI but separated through technical controls preventing access?","Security Protection Asset","Out-of-Scope Asset","Specialized Asset","CUI Asset","B","Assets effectively isolated from CUI processing are Out-of-Scope.","CMMC Scope Guide Level 2","Scoping|Out-of-Scope"
"ALPHA-157","Alpha","Domain 6 - Scoping","Elite","A contractor manages identity services used by CUI assets but stores no CUI. Which category most likely applies?","Security Protection Asset","CRMA","Specialized Asset","Out-of-Scope Asset","A","Identity services supporting security are SPAs.","CMMC Scope Guide Level 2","Scoping|SPA|Identity"
"ALPHA-158","Alpha","Domain 6 - Scoping","Hard","Which category describes assets that may process CUI under the contractor's risk management responsibilities?","CRMA","Out-of-Scope Asset","Specialized Asset","Security Protection Asset","A","CRMAs are contractor risk-managed assets.","CMMC Scope Guide Level 2","Scoping|CRMA"
"ALPHA-159","Alpha","Domain 6 - Scoping","Elite","An engineering workstation can access CUI repositories without restrictions. Which category most likely applies?","Specialized Asset","Out-of-Scope Asset","CUI Asset","Security Protection Asset","C","Unrestricted access to CUI generally places the asset in scope as a CUI Asset.","CMMC Scope Guide Level 2","Scoping|CUI Asset"
"ALPHA-160","Alpha","Domain 6 - Scoping","Hard","Which category includes badge systems and endpoint security tools supporting protection of CUI systems?","Security Protection Asset","Specialized Asset","Out-of-Scope Asset","CRMA","A","Protection mechanisms supporting scoped assets are SPAs.","CMMC Scope Guide Level 2","Scoping|SPA"
"ALPHA-161","Alpha","Domain 6 - Scoping","Elite","A printer stores CUI documents and is directly connected to a CUI system. Which category most likely applies?","Out-of-Scope Asset","Specialized Asset","CUI Asset","CRMA","C","Assets storing or transmitting CUI are CUI Assets.","CMMC Scope Guide Level 2","Scoping|CUI Asset"
"ALPHA-162","Alpha","Domain 6 - Scoping","Elite","A VoIP system provides communications but does not process CUI and supports CUI operations. Which category most likely applies?","Specialized Asset","Security Protection Asset","Out-of-Scope Asset","CRMA","B","Security-supporting infrastructure is generally categorized as SPA.","CMMC Scope Guide Level 2","Scoping|SPA"
"ALPHA-163","Alpha","Domain 6 - Scoping","Hard","Which category is most likely for HVAC systems controlling server room temperature?","Specialized Asset","CUI Asset","CRMA","Out-of-Scope Asset","A","Industrial or facility systems often qualify as Specialized Assets.","CMMC Scope Guide Level 2","Scoping|Specialized Asset"
"ALPHA-164","Alpha","Domain 6 - Scoping","Elite","A mobile device accesses and stores CUI email. Which category most likely applies?","Out-of-Scope Asset","CUI Asset","Specialized Asset","Security Protection Asset","B","Devices storing or transmitting CUI are CUI Assets.","CMMC Scope Guide Level 2","Scoping|CUI Asset"
"ALPHA-165","Alpha","Domain 6 - Scoping","Elite","A laptop is separated from CUI assets through technical controls preventing CUI access. Which category most likely applies?","Out-of-Scope Asset","Security Protection Asset","CRMA","Specialized Asset","A","Effective separation may place assets out of scope.","CMMC Scope Guide Level 2","Scoping|Out-of-Scope"
"ALPHA-166","Alpha","Domain 6 - Scoping","Hard","Which asset category provides cybersecurity functions supporting CUI assets?","Security Protection Asset","Specialized Asset","CRMA","Out-of-Scope Asset","A","SPAs provide security services supporting CUI Assets.","CMMC Scope Guide Level 2","Scoping|SPA"
"ALPHA-167","Alpha","Domain 6 - Scoping","Elite","A vulnerability scanner supports protection of CUI systems but stores no CUI. Which category most likely applies?","Security Protection Asset","Out-of-Scope Asset","Specialized Asset","CRMA","A","Security tools supporting scoped assets are SPAs.","CMMC Scope Guide Level 2","Scoping|SPA|Vulnerability Scanner"
"ALPHA-168","Alpha","Domain 6 - Scoping","Hard","Which category generally includes industrial control systems with limited security capabilities?","Out-of-Scope Asset","Specialized Asset","Security Protection Asset","CUI Asset","B","Industrial systems with operational limitations are often Specialized Assets.","CMMC Scope Guide Level 2","Scoping|Specialized Asset"
"ALPHA-169","Alpha","Domain 6 - Scoping","Elite","Which factor is most important when determining whether an asset is in scope?","Cost","Physical size","Ability to process, store, or transmit CUI","Vendor preference","C","Scoping decisions are driven by the asset's relationship to CUI.","CMMC Scope Guide Level 2","Scoping|CUI"
"ALPHA-170","Alpha","Domain 6 - Scoping","Elite","Which document provides the authoritative guidance for categorizing CUI Assets, SPAs, Specialized Assets, CRMAs, and Out-of-Scope Assets?","CAP v5.6","Assessment Guide Level 2","Code of Professional Conduct","CMMC Scope Guide Level 2","D","The CMMC Scope Guide defines asset categories and scoping principles.","CMMC Scope Guide Level 2","Scoping|Scope Guide"
